Obs,city,street,streetNumber,delivery_company,purchase_month,purchase_day,purchase_hour,purchase_weekday,delivery_month,delivery_day,delivery_hour,delivery_weekday,shipping_time_in_hours,category
1,Warszawa,al. Mokra,49,C516,IX,6,9,Saturday,IX,7,22,Sunday,37,
2,Gdynia,ul. Okrzei,90,C620,IV,28,12,Monday,V,1,6,Thursday,66,
3,Police,pl. Dlugosza,70,C360,I,22,9,Tuesday,I,23,19,Wednesday,34,
4,Gdynia,ul. Okrzei,90,C620,III,28,23,Friday,III,31,17,Monday,66,
5,Radom,pl. Konstytucji 3 Maja,129,C360,VI,3,1,Tuesday,VI,4,0,Wednesday,24,
6,Police,pl. Wodna,120,C620,VIII,16,7,Saturday,VIII,16,20,Saturday,13,
7,Gdynia,al. Reja,108,C516,I,4,23,Friday,I,5,1,Saturday,1,
8,Kutno,al. Sienkiewicza,979,C360,IV,9,7,Wednesday,IV,12,22,Saturday,88,
9,Police,pl. Jezynowa,578,C620,VII,18,0,Friday,VII,18,9,Friday,8,
10,Konin,ul. Sienkiewicza,979,C516,VII,15,1,Tuesday,VII,17,13,Thursday,60,
11,Warszawa,ul. Reymonta,952,C620,I,20,11,Sunday,I,24,17,Thursday,102,
12,Szczecin,pl. Robotnicza,526,C620,VI,22,0,Sunday,VI,23,12,Monday,36,
13,Radom,ul. Orzeszkowej,96,C360,X,7,0,Tuesday,X,9,18,Thursday,66,
14,Mielec,ul. Pomorska,12,C516,III,8,4,Saturday,III,10,2,Monday,46,
15,Konin,pl. Boczna,7,C620,VIII,15,13,Friday,VIII,16,23,Saturday,34,
16,Konin,al. Strumykowa,54,C516,V,22,17,Thursday,V,23,22,Friday,29,
17,Warszawa,pl. Zakole,779,C620,V,24,22,Saturday,V,28,1,Wednesday,75,
18,Mielec,al. Mostowa,25,C516,VI,18,19,Wednesday,VI,20,10,Friday,40,
19,Konin,ul. Sienkiewicza,979,C360,IV,22,13,Tuesday,IV,22,16,Tuesday,3,
20,Mielec,al. Skrajna,17,C360,II,12,6,Tuesday,II,15,3,Friday,68,
21,Gdynia,ul. Kreta,86,C516,VII,3,15,Thursday,VII,7,11,Monday,93,
22,Police,al. Sikorskiego,22,C620,VIII,14,3,Thursday,VIII,19,8,Tuesday,125,
23,Konin,al. Sarnia,154,C516,IV,11,5,Friday,IV,13,22,Sunday,64,
24,Warszawa,al. Strazacka,25,C620,V,10,21,Saturday,V,11,21,Sunday,24,
25,Warszawa,pl. Truskawkowa,38,C620,IV,20,15,Sunday,IV,21,3,Monday,12,
26,Szczecin,pl. Okrezna,933,C360,II,3,1,Sunday,II,3,11,Sunday,10,
27,Warszawa,ul. Niecala,61,C620,VI,10,20,Tuesday,VI,11,3,Wednesday,7,
28,Radom,al. Kosynierow,94,C620,I,26,4,Saturday,I,30,0,Wednesday,92,
29,Kutno,al. Norwida,52,C516,II,25,0,Monday,II,26,4,Tuesday,28,
30,Police,al. lanowa,48,C620,VII,20,6,Sunday,VII,21,13,Monday,32,
